,Unnamed: 0,start_lat,start_lng,end_lat,end_lng,weekday,lat1,lon1,lat2,lon2,diff_lat,diff_long,a,c,distance
count,5953156.0,5953156.0,5953156.0,5947201.0,5947201.0,5953156.0,5953156.0,5953156.0,5947201.0,5947201.0,5947201.0,5947201.0,5947201.0,5947201.0,5947201.0
mean,2976577.5,41.90183160149353,-87.64785069394733,41.90208400667847,-87.64804619798443,3.061328646519594,0.731324924062271,-1.5297435769057788,0.731329329363797,-1.5297469890949265,3.960666592357145e-06,-3.3167217908037568e-06,5.3654236707748994e-08,0.0003385167468310343,2.157367227554445
std,1718528.253901479,0.04666065762870241,0.030592643874870967,0.04676903793650544,0.030208808348344385,1.9702827599755193,0.0008143821067666671,0.0005339423625065747,0.0008162736999821552,0.0005272431687825609,0.0003819764965484408,0.00035305364566744934,3.5652635657376084e-06,0.00031629164807652784,2.015726673191762
min,0.0,41.64,-87.84,41.39,-88.97,0.0,0.7267551005304388,-1.5330972149518192,0.722391777400453,-1.552819435499355,-0.0658064931665532,-0.2423306421170121,0.0,0.0,0.0
25%,1488288.75,41.8810535,-87.662034,41.881032,-87.663576,1.0,0.730962277778895,-1.529991122295215,0.7309619025331058,-1.5300180352722808,-0.0001636071640819,-0.0001736079006957,4.793779378204625e-09,0.0001384742486654,0.882496386744868
50%,2976577.5,41.9,-87.6440978050232,41.9,-87.64414,3.0,0.7312929565856241,-1.52967807663759,0.7312929565856241,-1.5296788130788628,0.0,0.0,1.575170010294691e-08,0.0002510115549981,1.599696640003461
75%,4464866.25,41.93,-87.6295209193,41.93,-87.6295209193,5.0,0.7318165553612224,-1.5294236619870334,0.7318165553612224,-1.5294236619870334,0.0001713360637861,0.0001656841058919,4.922800797453325e-08,0.0004437477156328,2.828004191727837
max,5953155.0,45.635034323,-73.79647696,42.37,-87.3,6.0,0.7964816031969715,-1.287991499324136,0.7394960040699974,-1.5236724369910497,0.0055775684651786,0.0052604776342706,0.0086897595407007,0.1867088374020732,1189.8954207634129
